Date,Glyphe,Chiffre,Glyphe+Chiffre,Couleur,Note,date_iso,lune_distance_km,lune_proximite,lune_illumination_pct,lune_phase_nom,lune_signe,soleil_distance_ua,mercure_distance_ua,vénus_distance_ua,mars_distance_ua,jupiter_distance_ua,saturne_distance_ua,planete_proche_1,planete_proche_2,planete_proche_3,planete_proche_1_dist_ua,planete_proche_2_dist_ua,planete_proche_3_dist_ua,mercure_retrograde,venus_retrograde,mars_retrograde,saturne_retrograde,jupiter_retrograde,retrogrades_actifs,kp_moy,kp_max,kp_alerte,meteo_temp_max_c,meteo_temp_min_c,meteo_precipitations_mm,meteo_vent_max_kmh,meteo_pression_hpa,meteo_code_wmo,meteo_orage,score,theme_jungien,f107,ssn,flares_c,flares_m,flares_x,flares_mx,flares_total,soleil_ua,f107_cat,ssn_cat
18/05/2025,Chuen,Buluc,Chuen Buluc,#FFFF99,"Une belle journée avec deux rendez-vous super. A midi avec William et ce soir avec Philippe. Deux restos bons, du soleil,,de belles discussions, du plaisir. Une grande marche sur les quais du canal Saint-Martin. Un beau dimanche !",2025-05-18,388892.0,35.5,71.0,Gibbeuse Croissante,Verseau,1.0115,1.2467,0.5905,1.5794,6.0078,10.0812,Vénus,Soleil,Mercure,0.5905,1.0115,1.2467,False,False,False,False,False,Aucun,3.46,4.67,Actif,23.1,10.9,0.0,14.1,994.2,3,False,4,Puer,118,53,2,0,0,0,2,1.0115,Faible (<120),Modéré (50-100)
27/05/2025,Ahau,Uuc,Ahau Uuc,#FFFF99,"Arrêt des enregistrements dû au massacre de l'App qui a duré du 19 à ce jour. Du coup pas de mots, mais une belle semaine de travail intense, riche vraiment en échanges variés, profonds. L'impression d'avoir été vraiment à ma place. En particulier avec Matéo, Hélia, Jean, Michèle. Un moment où la fatigue était profonde mais où j'étais du coup proche d'un état d'éveil. On peut dire que la trécéna de Ix est peut-être à remarquer.
REMISE DES ALLIANCES !!!!
Merveilleuse nouvelle du jour, les abeilles qui étaient présentes depuis autour du 28 avril sont en fait installées. On les a vues rentrer du pollen",2025-05-27,360776.0,91.5,0.2,Nouvelle Lune,Gémeaux,1.0132,1.3186,0.6622,1.6571,6.069,9.9488,Vénus,Soleil,Mercure,0.6622,1.0132,1.3186,False,False,False,False,False,Aucun,2.71,4.33,Actif,25.1,14.8,0.0,23.4,997.1,2,False,5,Soi,137,116,6,0,0,0,6,1.0132,Modéré (120-150),Élevé (100-150)
30/05/2025,Akbal,Lahun,Akbal Lahun,#FFFF99,Oc se blesse encore plusieurs fois. Il y a une altercation avec lui où nous le grondons fort. Rita nous envoie un message nous demandant d'enlever tout ce qui est à nous de chez elle. Elle ne veut plus rien avoir à faire avec le Parédé. Skandre et Erik et Amélie viennent manger le soir. Super moment avec Erik. Skandre ne semble pas aller très bien. Je finis le texte sur la célébration de la Colombe de la Paix,2025-05-30,374423.0,64.3,14.9,Croissant Croissant,Cancer,1.0137,1.3213,0.6863,1.6824,6.086,9.9026,Vénus,Soleil,Mercure,0.6863,1.0137,1.3213,False,False,False,False,False,Aucun,4.08,4.67,Actif,31.0,16.4,0.0,10.6,998.4,0,False,2,Ombre,157,107,8,3,0,3,11,1.0137,Élevé (150-200),Élevé (100-150)
06/06/2025,Oc,Can,Oc Can,#FFFF99,"Jour Oc pour moi et Lina. Superbe journée pour les masters de percussion. Avec le passage de Valentin et de Gabriel. Un moment vraiment fort dans mon travail. Une très belle journée, intense où j'ai le sentiment d'avoir été vraiment à ma place",2025-06-06,405093.0,3.2,79.7,Gibbeuse Croissante,Balance,1.0147,1.2784,0.7425,1.7399,6.1188,9.7919,Vénus,Soleil,Mercure,0.7425,1.0147,1.2784,False,False,False,False,False,Aucun,1.83,2.33,Légèrement actif,26.4,14.2,0.0,13.1,996.2,3,False,5,Soi,128,76,13,0,0,0,13,1.0147,Modéré (120-150),Modéré (50-100)
09/06/2025,Ben,Uuc,Ben Uuc,#FFFF99,"Grand moment pour cette cérémonie de la Colombe de la Paix avec Olivier, Jean, Claire et Galiléo. J'ai tiré la vertu de la Protection avec l'archange Michael. Julie et Hélia ont participé de loin. Une très belle cérémonie. Un ancrage encore plus profond de cette cérémonie au Parédé",2025-06-09,403811.0,5.8,96.7,Gibbeuse Croissante,Scorpion,1.0151,1.2422,0.7666,1.7639,6.13,9.7434,Vénus,Soleil,Mercure,0.7666,1.0151,1.2422,False,False,False,False,False,Aucun,2.88,4.0,Actif,29.1,14.0,0.0,17.2,996.7,0,False,4,Soi,120,82,3,0,0,0,3,1.0151,Faible (<120),Modéré (50-100)
13/06/2025,Caban,Buluc,Caban Buluc,#FFFF99,Israël frappe l'Iran... Début du festival d'Aix après cinq ans d'arrêt.,2025-06-13,393323.0,26.6,95.5,Gibbeuse Croissante,Capricorne,1.0155,1.1832,0.7986,1.7954,6.1421,9.678,Vénus,Soleil,Mercure,0.7986,1.0155,1.1832,False,False,False,False,False,Aucun,5.62,6.67,Tempête modérée (G2),30.7,16.5,0.0,12.0,998.2,3,False,2,Persona,143,134,5,1,0,1,6,1.0155,Modéré (120-150),Élevé (100-150)
14/06/2025,Etznab,Lahca,Etznab Lahca,#CCFFCC,"Anniversaire de Bertrand Schacre. Il m'a partagé l'histoire du suicide d'Anne, sa moitié avec laquelle il n'a pas réussi à se mettre. Elle était beaucoup plus jeune que lui. Très fort moment hier soir avec lui. La vertu de protection à l'œuvre que je comprends un peu mieux chaque jour
Prise de conscience qu'il faut absolument dire et faire ce qui nous est demandé dans les temps. Là, l'histoire de Bertrand a été une vraie piqûre de rappel. Être à la hauteur de son pouvoir. Du coup, j'ai demandé pardon à Aydé et lui ai proposé le remboursement de l'appareil photo qu'elle m'avait offert pour mes 18 ans",2025-06-14,389893.0,33.5,90.3,Gibbeuse Croissante,Capricorne,1.0156,1.1671,0.8066,1.8031,6.1446,9.6615,Vénus,Soleil,Mercure,0.8066,1.0156,1.1671,False,False,False,False,False,Aucun,3.38,5.33,Tempête mineure (G1),32.8,17.9,0.0,13.2,998.5,3,False,1,Ombre,151,136,13,2,0,2,15,1.0156,Élevé (150-200),Élevé (100-150)
17/06/2025,Imix,Ca,Imix Ca,#FFFF99,Belle soirée de discussion avec Marguerite mon binôme au GTP . Drôle de journée. L'impression d'avoir tapé à côté avec mon rubato et d'avoir jeté un froid. Par contre grande proximité avec Margot et confirmation de la venue de Rose la semaine prochaine. Je devais voir Elisabeth ce soir qui a annulé. Trop fatiguée. Galiléo a fait sa danse avec Elsa et ça me réjouit,2025-06-17,378557.0,56.1,64.7,Gibbeuse Croissante,Poissons,1.0159,1.1169,0.8305,1.8262,6.1511,9.6119,Vénus,Soleil,Mercure,0.8305,1.0159,1.1169,False,False,False,False,False,Aucun,2.0,2.33,Légèrement actif,28.9,17.5,0.0,14.6,997.8,1,False,2,Anima,139,97,6,1,1,2,8,1.0159,Modéré (120-150),Modéré (50-100)
19/06/2025,Akbal,Can,Akbal Can,#FFFF99,"Dingue. Une journée à marquer du sceau de la réussite familiale. Lina trouvé son appart, Hélia est prise à Ellipse et est prete pour son exam, Claire a ajouté à notre collection des sculptures de Marie et du Christ faites par un sculpteur fameux de Lourdes (qui est mort maintenant) et moi j'ai passé une belle journée où mes talents d'ecrivaillon public ont été reconnu et amènent dans la matière du légendaire. C'est assez génial. Merci Père pour ces cadeaux",2025-06-19,370965.0,71.2,42.6,Croissant Croissant,Bélier,1.0161,1.0825,0.8464,1.8413,6.1544,9.5788,Vénus,Soleil,Mercure,0.8464,1.0161,1.0825,False,False,False,False,False,Aucun,2.08,4.33,Actif,32.0,17.0,0.0,13.6,998.0,2,False,5,Grande Mère,136,113,9,0,1,1,10,1.0161,Modéré (120-150),Élevé (100-150)
21/06/2025,Chicchan,Wak,Chicchan Wak,#99CCFF,"Claire et Galiléo me manquent aujourd'hui. J'aurais vraiment aimé le voir danser demain. Guerre entre Iran et Israel, cette nuit lest États Unis ont frappés l'Iran",2025-06-21,365102.0,82.9,21.2,Croissant Croissant,Taureau,1.0162,1.0477,0.8622,1.8563,6.1569,9.5455,Vénus,Soleil,Mercure,0.8622,1.0162,1.0477,False,False,False,False,False,Aucun,2.17,3.33,Légèrement actif,33.1,19.5,0.0,11.1,996.8,2,False,-2,Anima,120,87,1,0,0,0,1,1.0162,Faible (<120),Modéré (50-100)
23/06/2025,Manik,Waxak,Manik Waxak,#CCFFCC,"Une belle journée avec l'arrivée de Rose, Mathieu pour l'anniversaire de Nanie. Elle a 79 ans. Accomplissement pour Lina qui a eu son appart avec son homme. J'ai fabriqué cette nuit des outils pour la régie d'orchestre qui sont super. Belle énergie. Heureusement d'apprendre ce boulot à Rose et Mathieu qui sont venus passer une heure au GTP pour apprendre un peu la Régie d'Orchestre. Je suis très content du cadeau trouvé pour ma mère. Boucles et collier faits par deux artisanes qui bossent sur la mosaïque",2025-06-23,363210.0,86.6,5.6,Croissant Croissant,Gémeaux,1.0164,1.0128,0.8779,1.8711,6.1586,9.5122,Vénus,Mercure,Soleil,0.8779,1.0128,1.0164,False,False,False,False,False,Aucun,1.46,2.67,Légèrement actif,31.8,18.0,0.0,11.1,996.7,3,False,4,Grande Mère,122,105,7,0,0,0,7,1.0164,Modéré (120-150),Élevé (100-150)
24/06/2025,Lamat,Bolon,Lamat Bolon,#FFFF99,Rose bosse avec nous pour trois jours.Matjieu est avec nous ce matin puis file à Toulouse. C'est vraiment sympa. Hélia a aidé son pote Lounis pour son voyage au Canada et on est dans le même schéma que Lina avec le Pérou. Ils ont accompagné dans la mort un faon. Galiléo fait des oeuvres incroyables avec des marionnettes de dragon. Belle journee,2025-06-24,364312.0,84.4,1.4,Nouvelle Lune,Gémeaux,1.0164,0.9954,0.8857,1.8784,6.1591,9.4956,Vénus,Mercure,Soleil,0.8857,0.9954,1.0164,False,False,False,False,False,Aucun,1.83,2.67,Légèrement actif,35.8,20.8,0.0,19.2,994.1,3,False,4,Soi,120,87,7,0,0,0,7,1.0164,Faible (<120),Modéré (50-100)
26/06/2025,Oc,Buluc,Oc Buluc,#CCFFCC,Une belle journée de fin de stage pour Rose. Entrée en fosse de l'orchestre et tous les copains du festival étaient là. On a bien rigolé. On a été au resto avec Nanie et Jean Louis. Une belle journée de clôture avec des cadeaux de Rose qui porteront leurs fruits.,2025-06-26,370681.0,71.8,1.4,Nouvelle Lune,Cancer,1.0165,0.9609,0.9014,1.8929,6.1596,9.4624,Vénus,Mercure,Soleil,0.9014,0.9609,1.0165,False,False,False,False,False,Aucun,4.04,5.33,Tempête mineure (G1),33.3,20.8,0.0,12.9,995.6,3,False,3,Persona,117,91,3,0,0,0,3,1.0165,Faible (<120),Modéré (50-100)
27/06/2025,Chuen,Lahca,Chuen Lahca,#FF9999,Un peu tendu aujourd'hui. Départ de Rose ce matin qui m'impose d'aller au boulot une hure plus tôt. Lina me demande de faire bosser son mec que je ne connais pas et je ne le sens pas du tout. Il va donc me falloir le lui dire. Eu Claire au tel et on a parlé d'être capable de prendre le lead sur le spirituel sans attendre que d'autres nous adoubent et du coup récupèrent notre autorité. On parle des Esséniens et de la Ronde des Archanges avec le départ de Florent le seul vraiment dans l'axe des Esséniens.,2025-06-27,375514.0,62.1,5.4,Croissant Croissant,Lion,1.0165,0.9439,0.9091,1.9001,6.1595,9.4458,Vénus,Mercure,Soleil,0.9091,0.9439,1.0165,False,False,False,False,False,Aucun,3.25,5.0,Tempête mineure (G1),35.0,21.3,0.0,16.7,997.5,3,False,-2,Ombre,118,111,3,0,0,0,3,1.0165,Faible (<120),Élevé (100-150)
28/06/2025,Eb,Oxlahun,Eb Oxlahun,#FFFF99,Point de bascule. Margot écrit le rubato rigolo et moi le sérieux. Elle va venir passer ses vacances à la maison. J'ai hâte qu'elle rencontre Claire.,2025-06-28,380957.0,51.3,11.4,Croissant Croissant,Lion,1.0166,0.9269,0.9169,1.9072,6.1593,9.4292,Vénus,Mercure,Soleil,0.9169,0.9269,1.0166,False,False,False,False,False,Aucun,2.08,3.33,Légèrement actif,35.4,20.4,0.0,12.6,999.3,0,False,4,Anima,122,103,2,0,0,0,2,1.0166,Modéré (120-150),Élevé (100-150)
29/06/2025,Ben,Hun,Ben Hun,#FFFF99,"Super journée. Lavage de voiture, rasage, coupage d'ongles. Puis visite chez François avec piscine et jeux de boules avec les copains. Belle discussion avec Hélia au tel. Et fin de week end stage Claire, Galiléo et Hélia. Hélia voit de mieux en mieux ses fuites et ses refuges. Puis soirée discussion avec Jean-Louis et maman",2025-06-29,386568.0,40.1,19.0,Croissant Croissant,Lion,1.0166,0.9101,0.9246,1.9143,6.1588,9.4127,Mercure,Vénus,Soleil,0.9101,0.9246,1.0166,False,False,False,False,False,Aucun,1.83,2.33,Légèrement actif,35.5,21.8,0.0,17.0,998.1,0,False,4,Soi,128,151,2,0,0,0,2,1.0166,Modéré (120-150),Très élevé (>150)
30/06/2025,Ix,Ca,Ix Ca,#CCFFCC,Fatigué. Margot semble tendue et moi peut-être trop détendu ? En attendant ça y est on a le rendez-vous pour l'adoption d'Hélia. Tombant juste après notre discussion d'hier qui était très riche. C'est un moment Hélia,2025-06-30,391915.0,29.5,27.7,Croissant Croissant,Vierge,1.0166,0.8935,0.9324,1.9213,6.1582,9.3961,Mercure,Vénus,Soleil,0.8935,0.9324,1.0166,False,False,False,False,False,Aucun,2.46,3.0,Légèrement actif,35.0,21.1,0.0,11.2,995.5,2,False,2,Grande Mère,128,158,7,0,0,0,7,1.0166,Modéré (120-150),Très élevé (>150)
01/07/2025,Men,Ox,Men Ox,#99CCFF,"Coeur ouvert. Besoin de dire mon amour à François et Romu. Conversation difficile avec Claire qui a reproduit avec Hélia le cadre du viol en ce week-end de stage. Fatigué, mais bien. Hélia a eu son BTS. Beaucoup écouté de musique et contemplé... Le motif du jour",2025-07-01,396619.0,20.1,37.0,Croissant Croissant,Vierge,1.0166,0.877,0.9401,1.9283,6.1573,9.3797,Mercure,Vénus,Soleil,0.877,0.9401,1.0166,False,False,False,False,False,Aucun,1.29,3.33,Légèrement actif,36.8,22.0,0.0,15.1,994.1,3,False,-1,Ombre,126,144,1,0,0,0,1,1.0166,Modéré (120-150),Élevé (100-150)
06/07/2025,Ahau,Waxak,Ahau Waxak,#FFFF99,Drôle de journée. Plein d'accidents bizarre. On dirait une journée Eznab,2025-07-06,403624.0,6.1,82.0,Gibbeuse Croissante,Scorpion,1.0166,0.7981,0.9783,1.9626,6.15,9.2979,Mercure,Vénus,Soleil,0.7981,0.9783,1.0166,False,False,False,False,False,Aucun,3.46,5.0,Tempête mineure (G1),32.8,21.7,0.6,25.3,990.9,53,False,2,Soi,118,81,3,0,0,0,3,1.0166,Faible (<120),Modéré (50-100)
07/07/2025,Imix,Bolon,Imix Bolon,#FFFF99,Super bien dormi.,2025-07-07,401684.0,10.0,88.8,Gibbeuse Croissante,Sagittaire,1.0166,0.7831,0.9858,1.9693,6.148,9.2817,Mercure,Vénus,Soleil,0.7831,0.9858,1.0166,False,False,False,False,False,Aucun,3.33,5.0,Tempête mineure (G1),27.8,17.8,0.0,28.0,988.2,1,False,3,Corps,118,96,9,0,0,0,9,1.0166,Faible (<120),Modéré (50-100)
08/07/2025,Ik,Lahun,Ik Lahun,#99CCFF,"Super bien dormi. Deuxième jour où j'ai retrouvé mon sommeil. Levé 12:30. Plus de huit heures de sommeil. Il fait plus frais ? C'est dans les astres ? Le tzolkin ?

Ce soir, bien blessé. Par Marguerite. Je pensais avoir trouvé en elle une première complice d'une nouvelle ère dans le travail où je pourrais avoir la profondeur qui est la mienne sans devoir jouer le fou et finalement, nous sommes toujours au même endroit. Et cette armure que j'ai pu laisser quelques semaines je sens que je la remets. Réflexe de survie d'un petit homme si sensible.",2025-07-08,398976.0,15.4,94.2,Gibbeuse Croissante,Sagittaire,1.0166,0.7684,0.9934,1.9759,6.1457,9.2656,Mercure,Vénus,Soleil,0.7684,0.9934,1.0166,False,False,False,False,False,Aucun,2.54,3.33,Légèrement actif,25.1,16.9,0.0,33.9,991.3,1,False,-2,Ombre,115,88,4,1,0,1,5,1.0166,Faible (<120),Modéré (50-100)
09/07/2025,Akbal,Buluc,Akbal Buluc,#99CCFF,"Toujours fâché. Envie de lui faire du mal. Qu'elle souffre en retour. A analyser. Pourquoi ? Pourquoi suis-je tant touché ? En quoi ce profil rigide me touche tant et comment je peux être assez dingue pour croire qu'ici comme avec Élise il y a moyen de traverser. Qu'est-ce que ça raconte de moi. D'une couche profonde de ma personnalité ?

Une nouvelle scène écrite... Retrouver Fred et Elise pour bosser le théâtre. Soirée sympa avec discussions vives avec Nath et Fred. Un moment précieux",2025-07-09,395733.0,21.8,98.0,Pleine Lune,Capricorne,1.0166,0.754,1.0009,1.9825,6.1433,9.2496,Mercure,Vénus,Soleil,0.754,1.0009,1.0166,False,False,False,False,False,Aucun,1.71,2.67,Légèrement actif,28.5,15.1,0.0,18.9,994.8,0,False,-3,Ombre,120,83,3,1,0,1,4,1.0166,Faible (<120),Modéré (50-100)
15/07/2025,Muluc,Can,Muluc Can,#FFFF99,"Jour de belles dépenses. Billets pour l'Opéra pour Claire et Galiléo, son et lumière pour la famille complète (sauf nanie) et normalement récupération de ma ceinture et peut-être très achat d'un éventail pour Luca... La journée à 600 euros quoi ! Jour où ma mère reçoit son nouvel ordi et va donc me donner son ancien (bien plus récent que le mien et qui coûte autour de 2500 euros)",2025-07-15,375793.0,61.6,77.4,Gibbeuse Croissante,Poissons,1.0164,0.6759,1.0455,2.0211,6.1245,9.155,Mercure,Soleil,Vénus,0.6759,1.0164,1.0455,False,False,False,True,False,Saturne,3.12,4.67,Actif,33.5,20.1,0.0,17.2,996.5,1,False,4,Grande Mère,139,146,2,0,0,0,2,1.0164,Modéré (120-150),Élevé (100-150)
17/07/2025,Chuen,Wak,Chuen Wak,#FFFF99,"Pire journée du festival. Le moral est bon, mais le concert et l'équipe accueillie est horrible. Lionel doit complètement retoucher le piano. Margot est absente. Beurk !",2025-07-17,371274.0,70.6,56.5,Gibbeuse Croissante,Bélier,1.0163,0.6538,1.0602,2.0336,6.1167,9.1242,Mercure,Soleil,Vénus,0.6538,1.0163,1.0602,False,False,False,True,False,Saturne,3.29,4.0,Actif,33.0,23.2,0.0,27.1,991.0,0,False,1,Persona,156,178,3,0,0,0,3,1.0163,Élevé (150-200),Très élevé (>150)
18/07/2025,Eb,Uuc,Eb Uuc,#FFFF99,"Journée de fin de Don Giovanni. J'ai réussi à offrir ma bite en bois à Sir Simon Rattle. Et ça l'a fait bien marrer. Il l'a même montrée à Robert Icke. Mais il y a eu ce jour de la trécéna cimi des accidents... Des petites morts : pas possible de partir en tournée en septembre avec la Radio, la voiture à la maison est morte, rupture de courroie de transmission et moteur explosé. Feu à Martigues. Interdiction de donner ma bite à Rattle (j'ai forcé pour le faire) et départ de l'orchestre très émouvant. Une vraie perte. Une vraie fin.",2025-07-18,369619.0,73.9,45.0,Croissant Croissant,Taureau,1.0162,0.6436,1.0675,2.0397,6.1125,9.109,Mercure,Soleil,Vénus,0.6436,1.0162,1.0675,True,False,False,True,False,"Mercure, Saturne",2.21,4.0,Actif,33.3,19.5,0.0,15.3,990.3,3,False,2,Ombre,156,167,7,0,0,0,7,1.0162,Élevé (150-200),Très élevé (>150)
20/07/2025,Ix,Bolon,Ix Bolon,#FFFF99,Arrivée de Claire et de Galiléo. Bien dormi mais peu (5:00). Normalement on va à la piscine avec Margot en plus. Content de retrouver mon amoureuse.,2025-07-20,368017.0,77.1,23.2,Croissant Croissant,Gémeaux,1.0161,0.6253,1.082,2.0519,6.1036,9.0789,Mercure,Soleil,Vénus,0.6253,1.0161,1.082,True,False,False,True,False,"Mercure, Saturne",1.21,1.67,Calme,29.9,20.0,1.1,15.5,986.7,51,False,5,Anima,150,139,9,0,0,0,9,1.0161,Modéré (120-150),Élevé (100-150)
28/07/2025,Ik,Can,Ik Can,#CCFFCC,Premier rendez-vous adoption Hélia. Avec le notaire.,2025-07-28,392986.0,27.3,14.4,Croissant Croissant,Vierge,1.0154,0.5877,1.1386,2.0986,6.0601,8.9637,Mercure,Soleil,Vénus,0.5877,1.0154,1.1386,True,False,False,True,False,"Mercure, Saturne",1.37,2.33,Légèrement actif,25.3,17.9,0.0,35.2,990.0,1,False,3,Grande Mère,145,134,1,0,0,0,1,1.0154,Modéré (120-150),Élevé (100-150)
